events,relations,freq1,freq2,relSup1,relSup2,disprop
"(('E', 'c'), ('G', 'a'))",c,75,303,0.7524752475247525,0.3374028856825749,2.23019801980198
"(('E', 'c'), ('G', 'a'))",o,81,441,0.8118811881188119,0.49056603773584906,1.654988575780655
"(('E', 'c'), ('H', 'c'))",c,75,319,0.7524752475247525,0.3551609322974473,2.1186881188118813
"(('E', 'c'), ('H', 'c'))",o,75,462,0.7524752475247525,0.5138734739178691,1.4643200821162028
"(('E', 'c'), ('I', 'c'))",o,73,435,0.7326732673267327,0.4839067702552719,1.5140793895903353
"(('E', 'c'), ('I', 'c'))",c,75,312,0.7524752475247525,0.34739178690344064,2.1660709201910606
"(('E', 'c'), ('J', 'a'))",c,76,301,0.7623762376237624,0.33518312985571586,2.274506589731821
"(('E', 'c'), ('J', 'a'))",o,73,458,0.7326732673267327,0.5094339622641509,1.4382104877154382
"(('E', 'c'), ('E', 'a'))",o,64,278,0.6435643564356436,0.30965593784683687,2.0783207352993363
"(('E', 'c'), ('E', 'a'))",c,54,14,0.5445544554455446,0.016648168701442843,32.70957095709571
"(('E', 'c'), ('H', 'a'))",c,77,329,0.7722772277227723,0.3662597114317425,2.1085508550855088
"(('E', 'c'), ('H', 'a'))",o,79,432,0.7920792079207921,0.48057713651498335,1.6481832940799854
"(('E', 'c'), ('J', 'c'))",o,75,444,0.7524752475247525,0.4938956714761376,1.523551006786072
"(('E', 'c'), ('J', 'c'))",c,75,323,0.7524752475247525,0.35960044395116536,2.0925314753697593
"(('E', 'a'), ('A', 'a'))",o,78,435,0.7821782178217822,0.4839067702552719,1.6163820510491418
"(('E', 'a'), ('A', 'a'))",c,67,289,0.6732673267326733,0.3218645948945616,2.0917719358142715
"(('E', 'a'), ('A', 'c'))",c,71,267,0.7128712871287128,0.2974472807991121,2.3966307078469042
"(('E', 'a'), ('A', 'c'))",o,74,452,0.7425742574257426,0.5027746947835738,1.4769523309946888
"(('E', 'a'), ('B', 'c'))",c,98,827,0.9801980198019802,0.9189789123196448,1.066616444253121
"(('E', 'a'), ('B', 'c'))",b,37,378,0.37623762376237624,0.42064372918978915,0.8944329789179445
"(('E', 'a'), ('B', 'c'))",o,83,511,0.8316831683168316,0.5682574916759157,1.4635674504950493
"(('E', 'a'), ('B', 'a'))",c,98,827,0.9801980198019802,0.9189789123196448,1.066616444253121
"(('E', 'a'), ('B', 'a'))",o,82,500,0.8217821782178217,0.5560488346281909,1.4778956937609928
"(('E', 'a'), ('B', 'a'))",b,33,397,0.33663366336633666,0.44173140954495005,0.7620777153092194
"(('E', 'a'), ('C', 'c'))",c,98,827,0.9801980198019802,0.9189789123196448,1.066616444253121
"(('E', 'a'), ('C', 'c'))",b,37,379,0.37623762376237624,0.42175360710321863,0.8920792079207921
"(('E', 'a'), ('C', 'c'))",o,83,511,0.8316831683168316,0.5682574916759157,1.4635674504950493
"(('E', 'a'), ('C', 'a'))",c,98,827,0.9801980198019802,0.9189789123196448,1.066616444253121
"(('E', 'a'), ('C', 'a'))",o,82,499,0.8217821782178217,0.5549389567147613,1.4808514851485148
"(('E', 'a'), ('C', 'a'))",b,33,397,0.33663366336633666,0.44173140954495005,0.7620777153092194
"(('E', 'a'), ('D', 'c'))",c,78,308,0.7821782178217822,0.34295227524972255,2.2807203050402127
"(('E', 'a'), ('D', 'c'))",o,74,451,0.7425742574257426,0.5016648168701443,1.480219924647332
"(('E', 'a'), ('F', 'c'))",o,70,440,0.7029702970297029,0.4894561598224195,1.4362272961990077
"(('E', 'a'), ('F', 'c'))",c,78,337,0.7821782178217822,0.3751387347391787,2.0850372019450467
"(('E', 'a'), ('F', 'a'))",c,75,336,0.7524752475247525,0.37402885682574916,2.0118106766166233
"(('E', 'a'), ('F', 'a'))",o,78,456,0.7821782178217822,0.5072142064372919,1.5421062894035575
"(('E', 'a'), ('G', 'c'))",c,80,326,0.801980198019802,0.36293007769145397,2.209737487510219
"(('E', 'a'), ('G', 'c'))",o,74,440,0.7425742574257426,0.4894561598224195,1.5171415100693744
"(('E', 'a'), ('H', 'a'))",o,74,446,0.7425742574257426,0.4961154273029967,1.4967771944979733
"(('E', 'a'), ('H', 'a'))",c,70,315,0.7029702970297029,0.3507214206437292,2.0043551823536783
"(('E', 'a'), ('H', 'c'))",c,73,334,0.7326732673267327,0.37180910099889014,1.9705630264518987
"(('E', 'a'), ('H', 'c'))",o,80,432,0.801980198019802,0.48057713651498335,1.6687855852559852
"(('E', 'a'), ('I', 'c'))",c,69,325,0.693069306930693,0.36182019977802443,1.9155075016704122
"(('E', 'a'), ('I', 'c'))",o,71,424,0.7128712871287128,0.4716981132075472,1.5112871287128713
"(('E', 'a'), ('I', 'a'))",o,77,454,0.7722772277227723,0.5049944506104328,1.5292786421499296
"(('E', 'a'), ('I', 'a'))",c,72,350,0.7227722772277227,0.3895671476137625,1.8553214295788552
"(('E', 'a'), ('D', 'a'))",o,72,470,0.7227722772277227,0.5227524972253053,1.3826280717243697
"(('E', 'a'), ('D', 'a'))",c,68,262,0.6831683168316832,0.29189789123196447,2.3404359447351584
"(('E', 'a'), ('E', 'c'))",o,56,279,0.5643564356435643,0.31076581576026635,1.816018387553041
"(('E', 'a'), ('E', 'c'))",c,58,25,0.5841584158415841,0.02885682574916759,20.243335872048743
"(('E', 'a'), ('J', 'c'))",c,71,317,0.7128712871287128,0.35294117647058826,2.0198019801980194
"(('E', 'a'), ('J', 'c'))",o,81,438,0.8118811881188119,0.4872364039955605,1.6662982926994294
"(('E', 'a'), ('J', 'a'))",o,64,428,0.6435643564356436,0.47613762486126526,1.3516351635163517
"(('E', 'a'), ('J', 'a'))",c,65,335,0.6534653465346535,0.3729189789123196,1.7522984441301275
"(('E', 'c'), ('E', 'c'))",o,33,0,0.33663366336633666,0,303.3069306930693
"(('E', 'c'), ('E', 'c'))",c,51,0,0.5148514851485149,0,463.8811881188119
"(('E', 'c'), ('I', 'a'))",c,75,329,0.7524752475247525,0.3662597114317425,2.0544854485448543
"(('E', 'c'), ('I', 'a'))",o,76,470,0.7623762376237624,0.5227524972253053,1.4583885140106367
"(('E', 'c'), ('D', 'a'))",o,73,450,0.7326732673267327,0.5005549389567148,1.463721981954293
